Norväge;88,1  ;90,7  ;99,4  ;98,9  ;96,2  ;100,0  ;99,4  ;101,4  ;102,2  ;98,9  ;102,6  ;105,2  ;106,4  ;104,8  ;101,4  ;101,4  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pologne;93,6  ;103,3  ;100,0  ;91,1  ;89,5  ;100,0  ;103,0  ;107,0  ;116,9  ;96,9  ;101,8  ;99,1  ;95,7  ;97,0  ;98,3  ;98,3  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Portugal;93,8  ;94,8  ;96,4  ;99,6  ;100,6  ;100,0  ;100,0  ;100,9  ;102,3  ;103,2  ;101,1  ;101,3  ;100,0  ;101,5  ;102,4  ;102,4  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RÇpublique slovaque;87,1  ;85,4  ;87,3  ;93,5  ;98,0  ;100,0  ;103,1  ;114,1  ;123,6  ;132,5  ;128,3  ;128,5  ;127,2  ;129,3  ;130,2  ;130,2  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SlovÇnie;109,7  ;104,3  ;101,6  ;102,0  ;101,1  ;100,0  ;100,0  ;100,7  ;101,6  ;103,7  ;100,6  ;101,1  ;99,5  ;101,3  ;102,3  ;102,3  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espagne;91,4  ;92,5  ;95,0  ;99,2  ;100,6  ;100,0  ;100,1  ;101,3  ;103,2  ;104,5  ;101,5  ;102,0  ;100,1  ;102,2  ;103,5  ;103,5  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Suäde;98,8  ;91,0  ;94,0  ;100,4  ;102,7  ;100,0  ;100,4  ;101,9  ;100,3  ;92,2  ;98,6  ;104,6  ;106,0  ;109,6  ;109,9  ;109,9  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Suisse;88,9  ;92,7  ;98,0  ;100,3  ;101,0  ;100,0  ;98,5  ;96,1  ;101,7  ;107,8  ;113,5  ;128,2  ;127,2  ;128,3  ;130,3  ;130,3  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Turquie;258,5  ;145,6  ;109,2  ;97,1  ;95,0  ;100,0  ;93,1  ;95,4  ;91,7  ;83,0  ;86,0  ;74,1  ;72,5  ;68,1  ;63,6  ;63,6  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Royaume-Uni;100,0  ;99,1  ;100,6  ;97,0  ;101,6  ;100,0  ;100,5  ;102,2  ;89,4  ;79,9  ;79,3  ;78,7  ;81,9  ;80,2  ;81,5  ;81,5  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
êtats-Unis;107,8  ;113,4  ;114,1  ;107,4  ;102,6  ;100,0  ;98,4  ;94,0  ;90,8  ;96,2  ;92,7  ;88,8  ;91,3  ;92,1  ;91,8  ;91,8  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zone euro;80,6  ;82,8  ;87,0  ;97,8  ;101,7  ;100,0  ;100,0  ;103,1  ;107,1  ;110,9  ;102,8  ;103,4  ;98,9  ;103,6  ;106,5  ;106,5  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
